rooms,price,flat_area,district,address,latitude,longitude,subway,prestigious
2,7000.0,123.2,Дніпровський,"Космічна вул., 5",50.46745682,30.62234688,,1
1,8500.0,55.0,Подільський,"Свободи просп., 26а",50.51399231,30.42404747,,3
3,59104.0,173.0,Печерський,"Князів Острозьких вул. (Московська), 5/2б",50.44142532,30.54555893,,3
1,7000.0,61.0,Дніпровський,"Романа Шухевича просп. (Ватутіна), 22",50.49449158,30.59181786,,1
1,5500.0,55.0,Деснянський,"Лісовий просп., 7",50.48046875,30.62208366,,1
2,18500.0,105.0,Подільський,"Правди просп., 45",50.50386047,30.42358398,,3
2,15000.0,143.0,Дарницький,"Дніпровська наб., 25",50.40593338,30.61441803,,1
2,11000.0,81.0,Дніпровський,"Русанівський бульв., 9",50.43930054,30.59513664,,1
2,36940.0,103.0,Голосіївський,"Антоновича вул. (Горького), 74",50.42612839,30.5140667,Олімпійська,3
2,11000.0,96.0,Дарницький,"Урлівська вул., 23 А",50.41062546,30.61347198,,1
3,18000.0,169.0,Голосіївський,"Героїв Оборони вул., 10а",50.38275909,30.49168015,,3
3,30000.0,194.0,Печерський,"Шовковична вул., 36/7",50.44142914,30.5284481,,3
6,73510.59999999999,402.5,Шевченківський,"Рейтарська вул., 31/16",50.45285797,30.50919533,,3
2,22164.0,122.0,Печерський,"Чигоріна вул., 55",50.416008,30.53456879,,3
1,9500.0,51.0,Святошинський,"Щербаковского, 52",50.4503479,30.40528679,,2
1,20000.0,89.0,Шевченківський,"Берестейський просп. (Перемоги), 5В",50.4465332,30.48665428,,3
2,18000.0,141.0,Печерський,"Інститутська вул., 24/7",50.44420242,30.5370121,,3
2,18000.0,113.0,Шевченківський,"Хмельницького Богдана вул., 50б",50.44732666,30.50652885,,3
2,28000.0,170.0,Солом'янський,"Липківского Василя вул. (Урицького), 18",50.43360138,30.48425674,,2
2,19300.0,111.0,Святошинський,"Берестейський просп. (Перемоги), 67",50.45797729,30.40586472,,2
1,8000.0,79.0,Деснянський,"Милославська вул., 47",50.53044128,30.59513855,,1
1,36940.0,80.0,Шевченківський,"Десятинна, 13",50.4574852,30.51929855,Контрактова площа,3
1,7000.0,66.0,Деснянський,"радунська, 11",50.53032303,30.59884644,,1
1,12000.0,77.0,Дарницький,"Вірменська вул., 6",50.40637589,30.67076111,,1
1,14000.0,51.0,Дарницький,"Центральна вул., 19А",50.39164352,30.60383415,,1
1,10000.0,64.0,Голосіївський,"Героїв Маріуполя вул. (Якубовського маршала), 9",50.38168335,30.45262718,Іподром,3
5,25000.0,369.0,Шевченківський,"Тургенєвська вул., 74",50.45495224,30.48994255,,3
3,15000.0,106.0,Оболонський,"Героїв полку ""Азов"" вул. (Малиновського маршала), 36",50.5039711,30.50796509,Оболонь,2
2,14500.0,85.0,Оболонський,"Прирічна вул., 5",,,,2
4,35000.0,254.0,Оболонський,"Володимира Івасюка просп. (Героїв Сталінграда), 10а",50.49992752,30.51651764,,2
2,33246.0,155.0,Дарницький,"Завальна вул., 10г",,,,1
4,36940.0,246.0,Дарницький,"Зарічна вул., 1Г",50.39555359,30.60163116,,1
2,10000.0,83.0,Святошинський,"Чистяківська вул., 15",50.453681950000004,30.39689636,,2
1,11000.0,83.0,Дарницький,"Пчілки Олени вул., 6а",50.41684341,30.63207245,,1
1,11000.0,56.0,Дарницький,"Центральна, 19",50.39164352,30.60320091,,1
2,10000.0,80.0,Солом'янський,"Карела Чапека вул. (Фучіка Юліуса), 7",50.43946838,30.4722271,,2
2,9000.0,104.3,Дніпровський,"Пожарського вул., 8А",50.45417023,30.6241951,,1
2,10000.0,107.0,Оболонський,"Мукачівська вул., 14",50.50401688,30.45669937,,2
2,12500.0,145.0,Дарницький,"Бажана Миколи просп., 14",50.39513397,30.62280655,,1
3,29552.0,179.0,Шевченківський,"Франка Івана вул., 4",50.45038986,30.50990677,,3
2,13500.0,166.0,Подільський,"Вишгородська вул., 45",50.50922775,30.44924355,,3
1,16000.0,70.0,Дарницький,"Ревуцького вул., 40В",50.40246964,30.6497097,,1
1,4500.0,43.0,Святошинський,"Тулузи вул., 12",50.4308548,30.3722477,,2
2,12000.0,102.0,Голосіївський,"Антоновича вул. (Горького), 39",50.4333992,30.51399803,Площа Льва Толстого,3
2,6000.0,88.0,Деснянський,"Данькевича Костянтина вул., 3",50.51959991,30.62411499,,1
2,13000.0,85.0,Шевченківський,"Берестейський просп. (Перемоги), 17",,,,3
1,12000.0,75.0,Подільський,"Правди просп., 41 В",50.50216293,30.4264164,,3
1,9000.0,46.0,Солом'янський,"Карпатська вул., 26",50.43252182,30.43797874,,2
2,18000.0,93.0,Солом'янський,"Любомира Гузара просп. (Комарова), 11",50.43378448,30.40422249,,2
2,18000.0,78.0,Подільський,"Турівська, 4",50.46506119,30.51515579,Контрактова площа,3
1,7500.0,47.0,Шевченківський,"Парково-Сирецька вул. (Шамрила Тимофія), 5 б",50.46738052,30.44359016,,3
3,103432.0,235.0,Голосіївський,"Деміївська вул., 33",50.4041481,30.51313782,Деміївська,3
2,49869.0,123.5,Печерський,"Грушевського Михайла вул., 34/1",50.44400406,30.54163361,,3
2,10900.0,89.0,Печерський,"бульвар леси  украинки, 36/10",50.42005157,30.54701614,,3
1,33246.0,87.0,Печерський,"Драгомирова вул., 17В",50.40750885,30.54467583,,3
2,18900.0,135.0,Шевченківський,"Татарська вул., 7",50.46541977,30.48594093,,3
2,11900.0,135.0,Дарницький,"Урлівська вул., 20",50.40827179,30.62034035,,1
2,21000.0,116.0,Голосіївський,"Льва Толстого вул., 27/35",50.44139862,30.50333595,,3
1,8000.0,81.0,Деснянський,"Братиславська вул., 9а",50.47565079,30.6170826,,1
2,9000.0,62.0,Печерський,"Велика Васильківська вул. (Червоноармійська), 145/1",50.41259766,30.52618599,Либідська,3
2,9000.0,87.0,Шевченківський,"Берестейський просп. (Перемоги), 68/1",50.457588200000004,30.42941093,,3
2,14000.0,135.7,Святошинський,"Берестейський просп. (Перемоги), 131",50.45446014,30.35173607,,2
2,25858.0,123.0,Шевченківський,"Сікорського Ігоря вул. (Танкова), 4б",50.46575546,30.42952538,,3
1,16500.0,88.5,Шевченківський,"Юрія Іллєнка вул. (Мельникова), 51Б",50.46574783,30.47488403,,3
3,33246.0,145.0,Печерський,"Інститутська вул., 15/5",50.44621658,30.53435326,,3
4,18000.0,132.0,Дніпровський,"Верховної Ради бульв., 26",50.45021057,30.62639999,,1
2,7500.0,88.0,Святошинський,"Леся Курбаса просп. (50-річчя Жовтня), 12в",50.42905426,30.37596321,,2
2,20317.0,105.0,Шевченківський,"Дмитрівська вул., 13а",50.44939423,30.49077415,,3
5,55410.0,397.0,Печерський,"Старонаводницька вул., 6Б",50.42742157,30.54608727,,3
2,10500.0,107.0,Дніпровський,"Рогозівська вул., 1а",50.45102692,30.67489624,,1
1,12000.0,50.0,Печерський,"Василя Тютюнника вул. (Барбюса Анрі), 47",50.41896439,30.52773857,Палац Україна,3
2,9500.0,92.0,Шевченківський,"Данила Щербаківського вул. (Щербакова), 53",50.47576523,30.40516472,,3
1,29552.0,89.0,Голосіївський,"Антоновича вул. (Горького), 109",50.42287827,30.51711845,Палац Україна,3
2,31399.0,127.5,Шевченківський,"Глибочицька вул., 32Б",,,,3
2,59104.0,152.0,Печерський,"Лабораторний пров., 7",50.42786407,30.52527428,Олімпійська,3
