rooms,price,flat_area,district,address,subway,prestigious,Closest_subway,Closest_subway_location,Distance to subway in (m),Time to walk to subway,Distance to subway in seconds,target_location,Distance to subway in (km),Duration to subway in mins
1,8000.0,70.0,Деснянський,"Закревського Миколи вул., 42а",,1,,,,,,"50.52147293,30.63002586",,0.0
1,14000.0,75.0,Оболонський,"Кондратюка Юрія вул., 3",,2,Heroyiv Dnipra,"50.52273400000001, 30.49887",4287.0,53 mins,3161.0,"50.52669907,30.45740891",4.3,53.0
2,10000.0,90.0,Оболонський,"Олександра Архипенка вул. (Залки Мате), 12/3",,2,Obolon,"50.5015363, 30.4982311",1848.0,23 mins,1391.0,"50.49533081,30.51819801",1.8,23.0
1,14000.0,89.0,Подільський,"Вишгородська вул., 45б/1",,3,Minska,"50.51224200000001, 30.498551",4414.0,56 mins,3345.0,"50.51012039,30.44989395",4.4,56.0
1,14000.0,61.0,Оболонський,"Богатирська вул., 6а",,2,Heroyiv Dnipra,"50.52273400000001, 30.49887",1388.0,17 mins,1018.0,"50.5194397,30.48473549",1.4,17.0
1,8500.0,59.0,Оболонський,"Оболонський просп., 13",Мінська,2,Minska,"50.51224200000001, 30.498551",706.0,10 mins,577.0,"50.50826263,30.49720764",0.7,10.0
1,14900.0,100.0,Оболонський,"Володимира Івасюка просп. (Героїв Сталінграда), 18а",Мінська,2,Minska,"50.51224200000001, 30.498551",1330.0,17 mins,1026.0,"50.50975037,30.5093174",1.3,17.0
2,25000.0,115.0,Шевченківський,"Гетьмана Павла Скоропадського  вул. (Льва Толстого), 33",,3,Universytet,"50.4432683, 30.5046312",392.0,6 mins,344.0,"50.44185257,30.50254822",0.4,6.0
1,5000.0,63.5,Святошинський,"Симиренка вул., 28",,2,,,,,,"50.40775299,30.40176582",,0.0
1,12000.0,70.0,Шевченківський,"Олександрівська вул., 1",,3,Nyvky,"50.4586495, 30.40437299999999",333.0,4 mins,238.0,"50.45963287,30.40118599",0.3,4.0
1,19900.0,63.6,Голосіївський,"Родини Кістяківських вул., 6",Теремки,3,Teremky,"50.3671113, 30.4541397",2140.0,27 mins,1626.0,"50.36970901,30.44904137",2.1,27.0
2,8000.0,95.0,Оболонський,"Бережанська вул., 10",,2,Minska,"50.51224200000001, 30.498551",3336.0,41 mins,2481.0,"50.51446152,30.4610157",3.3,41.0
3,12000.0,108.0,Шевченківський,"Дегтярівська вул., 28",,3,Lukianivska,"50.46114710000001, 30.48363239999999",1044.0,12 mins,729.0,"50.46250534,30.46911812",1.0,12.0
1,8000.0,58.0,Шевченківський,"Ольжича вул., 11",,3,Dorohozhychi,"50.4735721, 30.4487602",637.0,8 mins,493.0,"50.47802734,30.44741631",0.6,8.0
2,11000.0,96.0,Шевченківський,"Родини Глаголєвих вул. (Грекова академіка), 12а",,3,Dorohozhychi,"50.4735721, 30.4487602",576.0,7 mins,448.0,"50.47307587,30.4436779",0.6,7.0
2,23000.0,132.0,Дарницький,"Бажана Миколи просп., 1А",,1,Slavutych,"50.3942606, 30.6048644",382.0,5 mins,288.0,"50.39520645,30.60948563",0.4,5.0
2,10000.0,105.0,Голосіївський,"Васильківська вул., 4",Голосіївська,3,Holosiivska,"50.3973835, 30.5082507",349.0,4 mins,232.0,"50.39732742,30.50614929",0.3,4.0
1,10000.0,70.0,Шевченківський,"Пимоненка Миколи вул., 5",,3,Lukianivska,"50.46114710000001, 30.48363239999999",783.0,10 mins,584.0,"50.45788574,30.49062729",0.8,10.0
1,8000.0,67.0,Оболонський,"Полярна вул., 8д",,2,Minska,"50.51224200000001, 30.498551",2757.0,35 mins,2089.0,"50.51682281,30.46665382",2.8,35.0
2,24000.0,155.0,Шевченківський,"Пушкінська вул., 11а",,3,Zoloti vorota,"50.445809, 30.515155",294.0,4 mins,239.0,"50.44579697,30.51870728",0.3,4.0
3,20000.0,132.0,Печерський,"Кловський узвiз, 14/24",,3,Klovska,"50.4369687, 30.531807",531.0,6 mins,349.0,"50.43793488,30.53752327",0.5,6.0
2,13000.0,90.0,Голосіївський,"Велика Васильківська вул. (Червоноармійська), 114",Палац Україна,3,Palats Ukraina,"50.4214131, 30.5207637",256.0,4 mins,218.0,"50.42214584,30.51943398",0.3,4.0
3,13000.0,136.0,Печерський,"Іоана Павла II вул. (Лумумби Патріса), 13",,3,Pecherska,"50.4272737, 30.539398",1304.0,17 mins,1039.0,"50.42068863,30.53338432",1.3,17.0
1,4500.0,55.0,Подільський,"Електриків пров., 9",Почайна,3,Tarasa Shevchenka,"50.4740062, 30.5038192",2129.0,26 mins,1581.0,"50.48180389,30.510849",2.1,26.0
1,9500.0,87.0,Святошинський,"Берестейський просп. (Перемоги), 125",,2,Zhytomyrska,"50.45624509999999, 30.3654504",1092.0,15 mins,913.0,"50.45396042,30.35367203",1.1,15.0
2,20000.0,88.0,Печерський,"Богомольця академіка вул., 8а",,3,Klovska,"50.4369687, 30.531807",3146.0,39 mins,2346.0,"50.43986893,30.53315163",3.1,39.0
1,20000.0,68.0,Печерський,"Хрещатик вул., 13",,3,Maidan Nezalezhnosti,"50.4481226, 30.5250038",182.0,3 mins,183.0,"50.44850922,30.52337837",0.2,3.0
3,110820.0,164.0,Печерський,"Драгомирова вул., 17б",,3,Druzhby Narodiv,"50.41703299999999, 30.547317",1420.0,19 mins,1156.0,"50.40792847,30.54432869",1.4,19.0
3,44328.0,159.8,Солом'янський,"Липківского Василя вул. (Урицького), 16в",,2,Vokzalna,"50.44133530000001, 30.489963",988.0,12 mins,723.0,"50.43523788,30.48707581",1.0,12.0
3,44328.0,172.0,Солом'янський,"Липківского Василя вул. (Урицького), 16б",,2,Vokzalna,"50.44133530000001, 30.489963",986.0,12 mins,722.0,"50.43532181,30.48700714",1.0,12.0
2,25000.0,105.0,Шевченківський,"Глибочицька вул., 13",,3,Lukianivska,"50.46114710000001, 30.48363239999999",564.0,8 mins,476.0,"50.46181488,30.489048",0.6,8.0
1,17000.0,60.0,Голосіївський,"Самійла Кішки вул. (Конєва), 5б",Іподром,3,Ipodrom,"50.37657470000001, 30.4688445",1094.0,14 mins,850.0,"50.38207245,30.46459198",1.1,14.0
5,22164.0,142.0,Шевченківський,"Некрасівська, 6",,3,Lukianivska,"50.46114710000001, 30.48363239999999",2019.0,24 mins,1447.0,"50.47480011,30.47739601",2.0,24.0
2,6500.0,85.0,Деснянський,"Поповича космонавта вул. (Волкова космонавта), 12",,1,Lisova,"50.4646598, 30.64556570000001",3745.0,47 mins,2813.0,"50.48818588,30.6350956",3.7,47.0
2,9000.0,79.0,Дніпровський,"Ірини Бекешкіної вул. (Карбишева генерала), 18Б",,1,Chernihivska,"50.459892, 30.63029200000001",4104.0,51 mins,3073.0,"50.49134827,30.60834885",4.1,51.0
2,16500.0,90.0,Солом'янський,"Вацлава Гавела бульв. (Лепсе Івана), 3",,2,Shuliavska,"50.45422809999999, 30.44862209999999",2328.0,29 mins,1722.0,"50.44537354,30.43050766",2.3,29.0
2,36940.0,115.0,Печерський,"Мазепи Івана вул. (Січневого Повстання), 14",,3,Arsenalna,"50.4430624, 30.54715739999999",280.0,3 mins,208.0,"50.44095993,30.54912376",0.3,3.0
2,6500.0,82.0,Солом'янський,"Василенка Миколи вул., 4",,2,Beresteiska,"50.4593178, 30.4186364",1764.0,23 mins,1372.0,"50.44550323,30.42061043",1.8,23.0
3,10000.0,126.0,Дніпровський,"Сеноманський пров., 16",,1,Lisova,"50.4646598, 30.64556570000001",5189.0,1 hour 3 mins,3780.0,"50.44533157,30.6635437",5.2,63.0
2,8500.0,84.0,Солом'янський,"Тупикова генерала вул., 14В",,2,Shuliavska,"50.45422809999999, 30.44862209999999",2540.0,32 mins,1899.0,"50.44402313,30.43626595",2.5,32.0
1,13300.0,64.0,Голосіївський,"Саксаганського вул., 54/56",,3,Universytet,"50.4432683, 30.5046312",1205.0,16 mins,939.0,"50.43740463,30.50576782",1.2,16.0
2,10000.0,85.0,Шевченківський,"Старокиївська вул., 25",,3,Politekhnichnyi instytut,"50.4511297, 30.46429349999999",1406.0,19 mins,1146.0,"50.45397186,30.47392654",1.4,19.0
3,27705.0,175.0,Печерський,"Старонаводницька вул., 4",,3,Pecherska,"50.4272737, 30.539398",846.0,11 mins,658.0,"50.42804718,30.54453468",0.8,11.0
2,27705.0,84.0,Печерський,"Городецького архітектора вул., 6",Майдан Незалежності,3,Maidan Nezalezhnosti,"50.4481226, 30.5250038",7.0,1 min,5.0,"50.44826126,30.52522469",7 m,1.0
2,9000.0,93.0,Святошинський,"Доброхотова академіка вул., 1б",,2,Zhytomyrska,"50.45624509999999, 30.3654504",1357.0,17 mins,1012.0,"50.46237564,30.36924171",1.4,17.0
2,22164.0,133.0,Шевченківський,"Гончара Олеся вул., 2",,3,Zoloti vorota,"50.445809, 30.515155",1403.0,17 mins,991.0,"50.45477676,30.511343",1.4,17.0
3,11000.0,155.0,Солом'янський,"Міцкевича Адама вул., 5",,2,Politekhnichnyi instytut,"50.4511297, 30.46429349999999",2861.0,36 mins,2163.0,"50.43785095,30.45465088",2.9,36.0
2,9800.0,78.0,Печерський,"Генерала Алмазова вул. (Кутузова), 2",,3,Pecherska,"50.4272737, 30.539398",663.0,8 mins,484.0,"50.43178177,30.54393959",0.7,8.0
2,9500.0,88.0,Деснянський,"Ореста Левицького вул. (Курчатова академіка), 13",,1,Lisova,"50.4646598, 30.64556570000001",2841.0,35 mins,2129.0,"50.47867584,30.62994957",2.8,35.0
2,8700.0,86.0,Шевченківський,"Бакинська вул., 37",,3,Dorohozhychi,"50.4735721, 30.4487602",1339.0,18 mins,1067.0,"50.48298645,30.45305061",1.3,18.0
2,18000.0,97.0,Подільський,"Юрківська вул., 34А",Тараса Шевченка,3,Tarasa Shevchenka,"50.4740062, 30.5038192",463.0,6 mins,333.0,"50.47328186,30.50862122",0.5,6.0
1,12000.0,66.0,Дарницький,"Софії Русової вул., 5Б",,1,Pozniaky,"50.3978642, 30.6347451",1889.0,24 mins,1435.0,"50.38832855,30.62940979",1.9,24.0
1,20000.0,85.0,Печерський,"Михайла Бойчука вул. (Кіквідзе), 19А",,3,Druzhby Narodiv,"50.41703299999999, 30.547317",672.0,10 mins,614.0,"50.41250229,30.55093384",0.7,10.0
2,13900.0,83.0,Подільський,"Правди просп., 41Є",,3,Syrets,"50.47676180000001, 30.4327791",3940.0,48 mins,2904.0,"50.50098038,30.42609024",3.9,48.0
1,14000.0,62.0,Печерський,"Примаченко Марії бульв. (Лихачова), 4",,3,Druzhby Narodiv,"50.41703299999999, 30.547317",1018.0,14 mins,830.0,"50.41876221,30.54210663",1.0,14.0
1,11500.0,61.0,Солом'янський,"Генерала Шаповала вул. (Механізаторів), 7",,2,Vokzalna,"50.44133530000001, 30.489963",2296.0,27 mins,1642.0,"50.4276886,30.47874451",2.3,27.0
2,20000.0,95.0,Солом'янський,"Берестейський просп. (Перемоги), 55а",,2,Beresteiska,"50.4593178, 30.4186364",306.0,4 mins,250.0,"50.45775223,30.42167854",0.3,4.0
1,13000.0,65.0,Солом'янський,"Липківского Василя вул. (Урицького), 24",,2,Vokzalna,"50.44133530000001, 30.489963",1593.0,19 mins,1116.0,"50.43292618,30.47969437",1.6,19.0
2,35093.0,192.0,Шевченківський,"Іринінська вул., 1/3",,3,Zoloti vorota,"50.445809, 30.515155",796.0,9 mins,542.0,"50.4513092,30.51645851",0.8,9.0
2,11000.0,113.0,Дарницький,"Пчілки Олени вул., 6",,1,Pozniaky,"50.3978642, 30.6347451",2649.0,34 mins,2015.0,"50.41674805,30.63116074",2.6,34.0
2,11900.0,85.0,Печерський,"Підвисоцького професора вул., 21",,3,Druzhby Narodiv,"50.41703299999999, 30.547317",748.0,10 mins,602.0,"50.41545486,30.55397797",0.7,10.0
2,10000.0,90.0,Дніпровський,"Харківське шосе, 9",,1,Darnytsia,"50.455958, 30.61296999999999",3595.0,46 mins,2742.0,"50.4374733,30.63067436",3.6,46.0
3,9999.0,114.0,Деснянський,"Шолом-Алейхема вул., 6",,1,Chernihivska,"50.459892, 30.63029200000001",1449.0,18 mins,1100.0,"50.47062302,30.62706566",1.4,18.0
3,21999.0,129.0,Печерський,"Велика Васильківська вул. (Червоноармійська), 20",,3,Ploshcha Lva Tolstogo,"50.4401898, 30.5183801",196.0,2 mins,144.0,"50.43901825,30.51746559",0.2,2.0
2,51679.06,103.0,Шевченківський,"Володимирська вул., 18",,3,Poshtova ploshcha,"50.45926900000001, 30.524412",1067.0,16 mins,985.0,"50.45450974,30.51651955",1.1,16.0
3,36940.0,243.0,Печерський,"Левандовська вул. (Аніщенка), 12",,3,Arsenalna,"50.4430624, 30.54715739999999",744.0,9 mins,549.0,"50.43917847,30.54667473",0.7,9.0
3,40597.06,275.0,Солом'янський,"Солом'янська вул., 15а",,2,Vokzalna,"50.44133530000001, 30.489963",2842.0,34 mins,2051.0,"50.42481613,30.47852135",2.8,34.0
3,40597.06,155.0,Шевченківський,"Софіївська вул., 1",Майдан Незалежності,3,Maidan Nezalezhnosti,"50.4481226, 30.5250038",645.0,9 mins,544.0,"50.45119858,30.52152061",0.6,9.0
1,15999.0,103.0,Солом'янський,"Максимовича вул. (Трутенка Онуфрія), 32",,2,Vystavkovyi tsentr,"50.3824347, 30.47758",2285.0,28 mins,1687.0,"50.39165115,30.46743965",2.3,28.0
3,16000.0,168.0,Шевченківський,"Володимира Сальського вул. (Котовського), 9/27а",,3,Syrets,"50.47676180000001, 30.4327791",826.0,10 mins,570.0,"50.47822189,30.44157791",0.8,10.0
2,18000.0,140.0,Печерський,"Панаса Мирного вул., 8",,3,Pecherska,"50.4272737, 30.539398",869.0,11 mins,631.0,"50.43325806,30.54275513",0.9,11.0
4,59104.0,460.0,Оболонський,"Володимира Івасюка просп. (Героїв Сталінграда), 8 ",Оболонь,2,Obolon,"50.5015363, 30.4982311",1925.0,24 mins,1425.0,"50.49716949,30.51999474",1.9,24.0
2,19000.0,84.0,Голосіївський,"Велика Васильківська вул. (Червоноармійська), 102",Олімпійська,3,Palats Ukraina,"50.4214131, 30.5207637",637.0,8 mins,471.0,"50.42568588,30.51712227",0.6,8.0
2,21000.0,107.0,Дарницький,"Центральна вул., 21А",,1,Slavutych,"50.3942606, 30.6048644",1094.0,14 mins,825.0,"50.391922,30.60354233",1.1,14.0
2,16000.0,97.0,Печерський,"Генерала Алмазова вул. (Кутузова), 1",,3,Pecherska,"50.4272737, 30.539398",656.0,8 mins,465.0,"50.43078232,30.54377937",0.7,8.0
2,31399.0,117.0,Оболонський,"Степана Бандери просп. (Московський), 32д",,2,Tarasa Shevchenka,"50.4740062, 30.5038192",4571.0,56 mins,3382.0,"50.48534393,30.53393173",4.6,56.0
2,6000.0,82.0,Дніпровський,"Алма-Атинська вул., 70",,1,Lisova,"50.4646598, 30.64556570000001",5579.0,1 hour 9 mins,4166.0,"50.45317841,30.68517685",5.6,69.0
2,10000.0,90.0,Солом'янський,"Липківского Василя вул. (Урицького), 28",,2,,,,,,"nan,nan",,0.0
1,7000.0,58.5,Святошинський,"Чорнобильська вул., 10",,2,Akademmistechko,"50.4649376, 30.3550961",1513.0,19 mins,1141.0,"50.45815659,30.3493557",1.5,19.0
2,25858.0,90.0,Печерський,"Драгомирова вул., 4б",,3,Druzhby Narodiv,"50.41703299999999, 30.547317",968.0,13 mins,807.0,"50.4116478,30.54468155",1.0,13.0
1,22164.0,90.0,Оболонський,"Тимошенка маршала вул., 21",Мінська,2,Minska,"50.51224200000001, 30.498551",140.0,2 mins,114.0,"50.51300812,30.49731827",0.1,2.0
2,33246.0,117.0,Печерський,"Василя Тютюнника вул. (Барбюса Анрі), 28а",Олімпійська,3,Palats Ukraina,"50.4214131, 30.5207637",690.0,8 mins,474.0,"50.42489243,30.5224762",0.7,8.0
1,15499.0,87.0,Голосіївський,"Деміївська вул., 16",Деміївська,3,Demiivska,"50.404788, 30.516868",675.0,8 mins,480.0,"50.4034729,30.5110321",0.7,8.0
3,129290.0,291.0,Шевченківський,"Тарасовская, 9В",Площа Льва Толстого,3,Universytet,"50.4432683, 30.5046312",593.0,7 mins,437.0,"50.44093704,30.5082798",0.6,7.0
2,24934.5,93.0,Печерський,"Кловський узвiз, 11",,3,Klovska,"50.4369687, 30.531807",652.0,7 mins,429.0,"50.43733215,30.53860664",0.7,7.0
1,18470.0,72.0,Шевченківський,"Золотоворітська вул., 2",,3,Zoloti vorota,"50.445809, 30.515155",689.0,8 mins,451.0,"50.45012665,30.51354218",0.7,8.0
2,29552.0,110.0,Шевченківський,"Мала Житомирська вул., 10",Майдан Незалежності,3,Maidan Nezalezhnosti,"50.4481226, 30.5250038",749.0,10 mins,609.0,"50.45243073,30.52128792",0.7,10.0
2,24011.0,90.0,Голосіївський,"Тарасівська вул., 3",,3,Universytet,"50.4432683, 30.5046312",699.0,9 mins,539.0,"50.4400444,30.50832367",0.7,9.0
1,5000.0,54.0,Деснянський,"Лісківська вул., 6а",,1,,,,,,"50.5246315,30.60433769",,0.0
1,9000.0,64.0,Голосіївський,"Ракетна вул., 24б",,3,Vydubychi,"50.401822, 30.56048799999999",6309.0,1 hour 17 mins,4620.0,"50.38288879,30.54331589",6.3,77.0
3,62797.99999999999,152.0,Печерський,"Саперне Поле вул., 6/1",,3,Palats Ukraina,"50.4214131, 30.5207637",865.0,10 mins,586.0,"50.42045593,30.53049278",0.9,10.0
1,16000.0,85.0,Святошинський,"Берестейський просп. (Перемоги), 65 б",,2,Nyvky,"50.4586495, 30.40437299999999",639.0,8 mins,479.0,"50.45728683,30.41035271",0.6,8.0
2,27000.0,106.0,Дарницький,"Зарічна вул., 1 в",,1,Slavutych,"50.3942606, 30.6048644",1077.0,14 mins,821.0,"50.39575195,30.60063934",1.1,14.0
2,10499.0,93.0,Дарницький,"Вербицького архітектора вул., 14б",,1,Kharkivska,"50.40067610000001, 30.6520895",936.0,12 mins,699.0,"50.40704727,30.65263939",0.9,12.0
3,16000.0,154.0,Дарницький,"Бажана Миколи просп., 10",,1,Osokorky,"50.395248, 30.616231",301.0,4 mins,244.0,"50.39502335,30.61914444",0.3,4.0
3,36940.0,164.0,Голосіївський,"Коломийський пров., 17/31",Васильківська,3,Vasylkivska,"50.393331, 30.488194",267.0,3 mins,202.0,"50.39312363,30.49154854",0.3,3.0
1,8500.0,70.0,Дарницький,"Софії Русової вул., 7",,1,Osokorky,"50.395248, 30.616231",1363.0,17 mins,1041.0,"50.38726425,30.62639618",1.4,17.0
3,31399.0,182.6,Шевченківський,"Глибочицька вул., 32 б",,3,Lukianivska,"50.46114710000001, 30.48363239999999",1309.0,18 mins,1085.0,"50.46211243,30.4941864",1.3,18.0
2,18000.0,137.0,Голосіївський,"Коломыйский пер, 17/31А",Васильківська,3,Vasylkivska,"50.393331, 30.488194",267.0,3 mins,202.0,"50.39312363,30.49154854",0.3,3.0
2,18000.0,100.0,Солом'янський,"Березова вул., 43",Васильківська,2,Vasylkivska,"50.393331, 30.488194",2567.0,33 mins,1975.0,"50.39838791,30.4682045",2.6,33.0
2,19000.0,185.0,Голосіївський,"Юлії Здановської вул. (Ломоносова), 75А",Виставковий центр,3,Vystavkovyi tsentr,"50.3824347, 30.47758",1240.0,15 mins,917.0,"50.38491058,30.47040749",1.2,15.0
1,15000.0,60.0,Печерський,"Мазепи Івана вул. (Січневого Повстання), 12",,3,Arsenalna,"50.4430624, 30.54715739999999",734.0,9 mins,538.0,"50.4417572,30.54791832",0.7,9.0
2,10500.0,154.0,Дарницький,"Урлівська вул., 10а",,1,Pozniaky,"50.3978642, 30.6347451",1398.0,18 mins,1089.0,"50.40437317,30.62426376",1.4,18.0
3,19000.0,160.0,Шевченківський,"Гетьмана Павла Скоропадського  вул. (Льва Толстого), 25",,3,Universytet,"50.4432683, 30.5046312",588.0,8 mins,485.0,"50.44145966,30.50520706",0.6,8.0
1,12999.0,83.0,Дніпровський,"Краківська вул., 27",,1,Chernihivska,"50.459892, 30.63029200000001",258.0,3 mins,191.0,"50.45791245,30.63035393",0.3,3.0
1,15000.0,83.0,Дніпровський,"Регенераторна вул., 4к6",,1,Darnytsia,"50.455958, 30.61296999999999",3758.0,47 mins,2832.0,"50.4360199,30.62345695",3.8,47.0
1,13999.0,75.0,Святошинський,"Берестейський просп. (Перемоги), 109а",,2,Zhytomyrska,"50.45624509999999, 30.3654504",667.0,8 mins,477.0,"50.45620346,30.37350655",0.7,8.0
2,35093.0,170.0,Шевченківський,"Терещенківська вул., 19",Площа Льва Толстого,3,Ploshcha Lva Tolstogo,"50.4401898, 30.5183801",476.0,6 mins,332.0,"50.44076538,30.51438332",0.5,6.0
2,12000.0,82.0,Шевченківський,"Берестейський просп. (Перемоги), 18",,3,Politekhnichnyi instytut,"50.4511297, 30.46429349999999",1396.0,20 mins,1190.0,"50.44973373,30.47762299",1.4,20.0
2,27705.0,123.0,Подільський,"Воздвиженська вул., 48",Контрактова площа,3,Kontraktova ploshcha,"50.4659213, 30.5150353",1171.0,15 mins,916.0,"50.45915985,30.51325417",1.2,15.0
2,27705.0,133.0,Подільський,"Гончарна вул., 3",Контрактова площа,3,Poshtova ploshcha,"50.45926900000001, 30.524412",1338.0,18 mins,1057.0,"50.45875168,30.51312065",1.3,18.0
2,12000.0,96.0,Шевченківський,"Загорівська вул. (Багговутівська), 3/15",,3,Lukianivska,"50.46114710000001, 30.48363239999999",1506.0,18 mins,1066.0,"50.47140503,30.47336197",1.5,18.0
1,7500.0,66.0,Деснянський,"Поповича космонавта вул. (Волкова космонавта), 20а",,1,Lisova,"50.4646598, 30.64556570000001",3876.0,48 mins,2905.0,"50.48749161,30.63985634",3.9,48.0
3,17000.0,110.0,Шевченківський,"Берестейський просп. (Перемоги), 15",,3,Politekhnichnyi instytut,"50.4511297, 30.46429349999999",1137.0,16 mins,939.0,"50.44939041,30.4750824",1.1,16.0
3,25000.0,168.0,Дніпровський,"Регенераторна вул., 4к14",,1,Darnytsia,"50.455958, 30.61296999999999",3968.0,50 mins,3026.0,"50.43306732,30.62049484",4.0,50.0
2,29963.0,91.0,Печерський,"Предславинська вул., 42а",Либідська,3,Lybidska,"50.41398259999999, 30.5248848",257.0,3 mins,194.0,"50.41551208,30.5252018",0.3,3.0
1,8500.0,57.0,Шевченківський,"Туполєва академіка вул., 17а",,3,Syrets,"50.47676180000001, 30.4327791",3042.0,37 mins,2217.0,"50.48449707,30.3960228",3.0,37.0
2,12000.0,85.0,Шевченківський,"Борщагівська вул., 10",,3,Politekhnichnyi instytut,"50.4511297, 30.46429349999999",1150.0,16 mins,968.0,"50.44789124,30.4720211",1.2,16.0
2,30000.0,140.0,Голосіївський,"Юлії Здановської вул. (Ломоносова), 73",Виставковий центр,3,Vystavkovyi tsentr,"50.3824347, 30.47758",852.0,11 mins,631.0,"50.38731003,30.47137451",0.9,11.0
1,11000.0,93.0,Дарницький,"Драгоманова вул., 40з",,1,Pozniaky,"50.3978642, 30.6347451",1189.0,15 mins,898.0,"50.40610123,30.6382122",1.2,15.0
2,20000.0,120.0,Шевченківський,"Симона Петлюри вул. (Комінтерну), 8",,3,Universytet,"50.4432683, 30.5046312",680.0,9 mins,541.0,"50.44472885,30.49867058",0.7,9.0
1,22164.0,75.0,Печерський,"Михайла Бойчука вул. (Кіквідзе), 19а",,3,Druzhby Narodiv,"50.41703299999999, 30.547317",644.0,10 mins,591.0,"50.41250229,30.54943085",0.6,10.0
2,20000.0,115.0,Шевченківський,"Львівська пл, 4а",,3,Lukianivska,"50.46114710000001, 30.48363239999999",1414.0,18 mins,1083.0,"50.45280457,30.48217201",1.4,18.0
1,12000.0,73.0,Дарницький,"Чавдар Єлизавети вул., 38а",,1,Osokorky,"50.395248, 30.616231",1194.0,15 mins,916.0,"50.39073563,30.62738609",1.2,15.0
2,11000.0,106.0,Дніпровський,"Літинська вул., 1а",,1,Lisova,"50.4646598, 30.64556570000001",5725.0,1 hour 11 mins,4271.0,"50.45220947,30.6865921",5.7,71.0
2,8500.0,100.0,Солом'янський,"Пироговського Олександра вул., 4",,2,Vokzalna,"50.44133530000001, 30.489963",3017.0,37 mins,2219.0,"50.42237091,30.47990227",3.0,37.0
2,25858.0,102.0,Голосіївський,"Тарасівська вул., 2",,3,Universytet,"50.4432683, 30.5046312",667.0,9 mins,511.0,"50.44039536,30.50798035",0.7,9.0
1,13000.0,64.0,Голосіївський,"Велика Васильківська вул. (Червоноармійська), 124",Палац Україна,3,Palats Ukraina,"50.4214131, 30.5207637",315.0,4 mins,245.0,"50.41856766,30.52126694",0.3,4.0
3,30000.0,162.0,Шевченківський,"Павлівська вул., 26/41",,3,Lukianivska,"50.46114710000001, 30.48363239999999",1336.0,17 mins,1032.0,"50.45197296,30.48611259",1.3,17.0
2,12000.0,129.0,Дарницький,"Бориса Гмирі вул., 4",,1,Pozniaky,"50.3978642, 30.6347451",984.0,13 mins,758.0,"50.39333725,30.62761497",1.0,13.0
3,28000.0,180.0,Печерський,"Дарвіна вул., 10",,3,Palats Sportu,"50.439721, 30.51948599999999",1838.0,25 mins,1476.0,"50.44077682,30.52601242",1.8,25.0
1,5000.0,52.0,Святошинський,"Зодчих вул., 18",,2,Zhytomyrska,"50.45624509999999, 30.3654504",5561.0,1 hour 8 mins,4092.0,"50.41556168,30.38029671",5.6,68.0
3,22500.0,255.0,Солом'янський,"Молдавська, 2",,2,Vokzalna,"50.44133530000001, 30.489963",3114.0,37 mins,2229.0,"50.42676163,30.46810341",3.1,37.0
2,15000.0,90.0,Солом'янський,"Новопольова вул., 2а",,2,,,,,,"50.43074799,30.44127274",,0.0
3,25500.0,157.0,Солом'янський,"Патріарха Мстислава Скрипника вул., 48 а",,2,Vokzalna,"50.44133530000001, 30.489963",1713.0,20 mins,1202.0,"50.43392181,30.47941399",1.7,20.0
3,32000.0,192.0,Дарницький,"Чавдар Єлизавети вул., 1",,1,Osokorky,"50.395248, 30.616231",517.0,7 mins,403.0,"50.39365387,30.61827469",0.5,7.0
3,23000.0,148.0,Шевченківський,"Сікорського Ігоря вул. (Танкова), 1",,3,Beresteiska,"50.4593178, 30.4186364",1172.0,14 mins,856.0,"50.46234894,30.43258095",1.2,14.0
1,18500.0,72.0,Дарницький,"Дніпровська наб., 16г",,1,Osokorky,"50.395248, 30.616231",546.0,7 mins,418.0,"50.39832306,30.61261368",0.5,7.0
2,29552.0,128.0,Голосіївський,"Володимирська вул., 65",,3,Ploshcha Lva Tolstogo,"50.4401898, 30.5183801",690.0,8 mins,491.0,"50.43935394,30.51096535",0.7,8.0
6,258580.0,1060.0,Голосіївський,"Микільсько-Ботанічна вул., 14",Площа Льва Толстого,3,Universytet,"50.4432683, 30.5046312",702.0,10 mins,570.0,"50.43992996,30.50536919",0.7,10.0
5,147760.0,846.0,Шевченківський,"Шевченка Тараса бульв., 27Б",,3,Universytet,"50.4432683, 30.5046312",1022.0,14 mins,824.0,"50.44519806,30.49727821",1.0,14.0
3,32876.6,155.0,Голосіївський,"Голосіївська вул., 13а",Деміївська,3,Demiivska,"50.404788, 30.516868",1024.0,13 mins,771.0,"50.39880371,30.51986885",1.0,13.0
2,11500.0,89.80000000000001,Голосіївський,"Саперно-Слобідська вул., 22",Деміївська,3,Demiivska,"50.404788, 30.516868",1832.0,26 mins,1550.0,"50.40249634,30.5369091",1.8,26.0
3,33246.0,112.0,Шевченківський,"Грінченка Бориса вул., 2",,3,Maidan Nezalezhnosti,"50.4481226, 30.5250038",546.0,8 mins,505.0,"50.45066071,30.52150536",0.5,8.0
3,20000.0,201.0,Дарницький,"Срібнокільська вул., 1",,1,Pozniaky,"50.3978642, 30.6347451",857.0,12 mins,729.0,"50.40268326,30.63051414",0.9,12.0
4,22000.0,193.0,Печерський,"Лютеранська вул., 2",,3,Khreshchatyk,"50.4473449, 30.5227597",219.0,3 mins,167.0,"50.44592285,30.52276611",0.2,3.0
