rooms,price,flat_area,district,address,subway,prestigious,Closest_subway,Closest_subway_location,Distance to subway in (m),Time to walk to subway,Distance to subway in seconds,target_location,Distance to subway in (km),Duration to subway in mins
1,8500.0,83.0,Дарницький,"Пчілки Олени вул., 2б",,1,Pozniaky,"50.3978642, 30.6347451",2605.0,33 mins,1968.0,"50.41723251,30.62601662",2.6,33.0
4,25000.0,259.0,Оболонський,"Володимира Івасюка просп. (Героїв Сталінграда), 12 е",Мінська,2,Obolon,"50.5015363, 30.4982311",1459.0,18 mins,1092.0,"50.50621796,30.51338196",1.5,18.0
3,10000.0,130.0,Дарницький,"Драгоманова вул., 40",,1,Pozniaky,"50.3978642, 30.6347451",1108.0,14 mins,838.0,"50.4052887,30.63711166",1.1,14.0
2,15000.0,80.0,Шевченківський,"Тургенєвська вул., 83/85",,3,Lukianivska,"50.46114710000001, 30.48363239999999",706.0,9 mins,529.0,"50.4560585,30.48888397",0.7,9.0
2,14000.0,92.0,Печерський,"Микільський пров. (Січневий), 1/25",,3,Arsenalna,"50.4430624, 30.54715739999999",773.0,10 mins,583.0,"50.44012451,30.54863548",0.8,10.0
1,15000.0,74.0,Солом'янський,"Вацлава Гавела бульв. (Лепсе Івана), 6/7",,2,Beresteiska,"50.4593178, 30.4186364",1676.0,21 mins,1280.0,"50.44741058,30.42126465",1.7,21.0
4,20000.0,167.0,Святошинський,"Доброхотова академіка вул., 17",,2,Akademmistechko,"50.4649376, 30.3550961",1130.0,14 mins,845.0,"50.4615097,30.35857391",1.1,14.0
3,36940.0,181.0,Печерський,"Велика Васильківська вул. (Червоноармійська), 12",,3,Ploshcha Lva Tolstogo,"50.4401898, 30.5183801",70.0,1 min,57.0,"50.44007874,30.51903343",70 m,1.0
3,140372.0,205.0,Шевченківський,"Бессарабська пл., 5",Площа Льва Толстого,3,Ploshcha Lva Tolstogo,"50.4401898, 30.5183801",264.0,4 mins,217.0,"50.44207382,30.51962662",0.3,4.0
3,24011.0,180.0,Дарницький,"Урлівська вул., 36а",,1,Osokorky,"50.395248, 30.616231",2219.0,28 mins,1669.0,"50.41127777,30.61857224",2.2,28.0
3,129290.0,370.0,Шевченківський,"Десятинна вул., 9",Поштова площа,3,Poshtova ploshcha,"50.45926900000001, 30.524412",834.0,14 mins,813.0,"50.45705032,30.51977348",0.8,14.0
6,59104.0,360.0,Подільський,"Воздвиженська вул., 9/19",Контрактова площа,3,Kontraktova ploshcha,"50.4659213, 30.5150353",1312.0,17 mins,993.0,"50.45983505,30.51014137",1.3,17.0
1,12000.0,96.0,Голосіївський,"Глушкова академіка просп., 9е",Іподром,3,Ipodrom,"50.37657470000001, 30.4688445",1223.0,15 mins,915.0,"50.37033081,30.46770287",1.2,15.0
1,10000.0,75.0,Дніпровський,"Пантелеймона Куліша вул. (Челябінська), 11",,1,Livoberezhna,"50.451864, 30.59815699999999",1221.0,15 mins,887.0,"50.46081543,30.59396362",1.2,15.0
2,18433.06,90.0,Шевченківський,"Нагірна вул., 15",,3,Lukianivska,"50.46114710000001, 30.48363239999999",2011.0,25 mins,1521.0,"50.4747467,30.48099899",2.0,25.0
2,10000.0,93.0,Дарницький,"Григоренка Петра просп., 31",,1,Pozniaky,"50.3978642, 30.6347451",1064.0,13 mins,802.0,"50.40380096,30.6329689",1.1,13.0
