rooms,price,flat_area,district,address,subway,prestigious,Closest_subway,Closest_subway_location,Distance Text,Distance Value,Duration Text,Duration Value,target_location
2,15000.0,87.0,Дніпровський,"Соборності просп. (Возз'єднання), 30А",,1,Livoberezhna,"50.451864, 30.59815699999999",1.8 km,1768.0,21 mins,1286.0,"50.43972015,30.60955238"
1,12500.0,71.0,Голосіївський,"Рудницького Степана вул. (Вільямса академіка), 6в",Виставковий центр,3,Vystavkovyi tsentr,"50.3824347, 30.47758",2.0 km,2028.0,25 mins,1498.0,"50.39005661,30.46260262"
2,12500.0,82.0,Голосіївський,"Московський пров., 2а",Виставковий центр,3,Vystavkovyi tsentr,"50.3824347, 30.47758",2.1 km,2107.0,26 mins,1552.0,"50.39058304,30.46076584"
3,28000.0,240.0,Голосіївський,"Деміївська вул., 13",Деміївська,3,Demiivska,"50.404788, 30.516868",0.4 km,426.0,5 mins,304.0,"50.40380478,30.5138073"
2,24000.0,136.0,Голосіївський,"Самійла Кішки вул. (Конєва), 10/1",Іподром,3,Ipodrom,"50.37657470000001, 30.4688445",1.3 km,1288.0,17 mins,1000.0,"50.38318253,30.45777702"
3,9000.0,177.0,Деснянський,"Градинська вул., 5",,1,,,,,,,"50.51806641,30.59937286"
4,184700.0,375.0,Печерський,"Новоселицька вул., 10",,3,Vydubychi,"50.401822, 30.56048799999999",2.7 km,2712.0,32 mins,1933.0,"50.40839767,30.55553436"
5,73880.0,407.0,Печерський,"Городецького архітектора вул., 11А",,3,Maidan Nezalezhnosti,"50.4481226, 30.5250038",0.2 km,189.0,3 mins,160.0,"50.44745636,30.5268116"
1,13000.0,83.0,Голосіївський,"Юлії Здановської вул. (Ломоносова), 85",Іподром,3,Ipodrom,"50.37657470000001, 30.4688445",1.2 km,1211.0,16 mins,933.0,"50.38365173,30.46224594"
1,10500.0,75.0,Голосіївський,"Метрологічна вул., 21А",,3,Teremky,"50.3671113, 30.4541397",3.0 km,3037.0,38 mins,2271.0,"50.34910202,30.47773933"
1,30000.0,115.0,Печерський,"Драгомирова вул., 14б",,3,Druzhby Narodiv,"50.41703299999999, 30.547317",1.0 km,968.0,13 mins,807.0,"50.41165543,30.54471016"
2,6000.0,92.0,Подільський,"Правди просп., 70а",,3,Syrets,"50.47676180000001, 30.4327791",4.6 km,4582.0,57 mins,3400.0,"50.50561905,30.42614365"
2,7000.0,87.0,Оболонський,"Попова Олександра вул., 12",,2,Obolon,"50.5015363, 30.4982311",3.7 km,3747.0,47 mins,2800.0,"50.50191116,30.45729065"
1,7000.0,58.0,Подільський,"Правди просп., 88б",,3,Syrets,"50.47676180000001, 30.4327791",5.5 km,5452.0,1 hour 8 mins,4059.0,"50.50893784,30.41407967"
1,6000.0,61.0,Оболонський,"Навашина академіка вул., 9",,2,Heroyiv Dnipra,"50.52273400000001, 30.49887",3.9 km,3930.0,49 mins,2937.0,"50.51930237,30.45087814"
1,7000.0,61.0,Подільський,"Светлицкого, 24",,3,Syrets,"50.47676180000001, 30.4327791",5.5 km,5525.0,1 hour 8 mins,4100.0,"50.51313782,30.43195152"
1,13000.0,74.0,Солом'янський,"Практична вул., 4",Васильківська,2,Vasylkivska,"50.393331, 30.488194",1.3 km,1294.0,16 mins,957.0,"50.39333344,30.47085762"
1,8500.0,56.0,Подільський,"Правди просп., 88а",,3,Syrets,"50.47676180000001, 30.4327791",5.4 km,5368.0,1 hour 7 mins,4000.0,"50.50824356,30.4146328"
1,7000.0,64.0,Подільський,"Квітневий пров., 10",,3,Syrets,"50.47676180000001, 30.4327791",4.2 km,4244.0,52 mins,3145.0,"50.50130081,30.43316841"
2,12000.0,92.0,Печерський,"Бутишев пров. (Іванова Андрія вул.), 21",,3,Arsenalna,"50.4430624, 30.54715739999999",0.7 km,724.0,9 mins,529.0,"50.4400444,30.54790688"
2,18000.0,85.0,Печерський,"Лаврська вул., 21",,3,Dnipro,"50.441228, 30.559337",2.8 km,2776.0,35 mins,2079.0,"50.43156815,30.55775833"
2,9500.0,91.0,Деснянський,"Драйзера Теодора вул., 8б",,1,,,,,,,"50.50373077,30.60614014"
4,80000.0,280.0,Печерський,"Лютеранська вул., 10а",,3,Khreshchatyk,"50.4473449, 30.5227597",0.3 km,346.0,4 mins,244.0,"50.44490051,30.52353668"
2,29552.0,220.0,Печерський,"Драгомирова вул., 4",,3,Druzhby Narodiv,"50.41703299999999, 30.547317",0.8 km,767.0,11 mins,640.0,"50.41262817,30.54449654"
2,10000.0,92.0,Подільський,"Межова вул., 24",,3,Syrets,"50.47676180000001, 30.4327791",5.0 km,5023.0,1 hour 2 mins,3731.0,"50.50997925,30.43301964"
4,120000.0,468.0,Голосіївський,"Володимирська вул., 37",Площа Льва Толстого,3,Ploshcha Lva Tolstogo,"50.4401898, 30.5183801",0.7 km,653.0,8 mins,461.0,"50.43968582,30.51102066"
