link,rooms,price,flat_area,premium,district,address,latitude,longitude,subway,floor,type_of_house,type_of_rooms,type_of_condition,Unnamed: 14,prestigious,code type,closest_subway,subway_location,distance_to_subway,distance_category
https://rieltor.ua/flats-rent/view/10269655/,3.0,62797.99999999999,267.0,no,Печерський,"Євгена Коновальця вул. (Щорса), 44а",50.42339325,30.53860092,,26,Українська цегла,Суміжно-роздільна,Євроремонт,,3,4,Печерська,"50.4275, 30.538889",0.4571055463332641,1
https://rieltor.ua/flats-rent/view/10821454/,2.0,13500.0,107.0,no,Святошинський,"Кулібіна вул., 6",50.45569992,30.39930916,,5,None,Роздільне,Євроремонт,,1,4,Нивки,"50.458653, 30.404042",0.4691314629260887,1
https://rieltor.ua/flats-rent/view/10779121/,1.0,8000.0,55.0,no,Солом'янський,"Мартиросяна вул., 19",50.43011093,30.45226097,,2,None,Роздільне,Задовільний стан,,2,1,Політехнічний інститут,"50.450833, 30.466111",2.504258641558674,2
https://rieltor.ua/flats-rent/view/10827095/,2.0,7500.0,80.0,no,Святошинський,"Леся Курбаса просп. (50-річчя Жовтня), 18",50.42620468,30.37072372,,4,Типова панель,Роздільне,Хороший стан,,1,3,Житомирська,"50.456175, 30.365628",3.3520284150077635,2
https://rieltor.ua/flats-rent/view/10340138/,1.0,7500.0,64.0,no,Дарницький,"Світла вул., 3",50.39672852,30.69455338,,5,Українська цегла,Роздільне,Чудовий стан,,1,4,Бориспільська,"50.403333, 30.682778",1.111714414220697,1
https://rieltor.ua/flats-rent/view/10788178/,1.0,29552.0,100.0,no,Печерський,"Ділова вул., 2/1",50.429039,30.51993752,,13,Бетонно монолітний,Суміжно-роздільна,Дизайнерський ремонт,,3,5,Олімпійська,"50.431944, 30.516389",0.4092923192443509,1
https://rieltor.ua/flats-rent/view/10817761/,1.0,36940.0,92.0,no,Дарницький,"Зарічна вул., 16",50.39510345,30.6035862,,12,None,Роздільне,Перша здача,,1,2,Славутич,"50.394167, 30.604167",0.1119722093584366,1
https://rieltor.ua/flats-rent/view/10826844/,1.0,40634.0,105.0,no,Печерський,"Джона Маккейна вул. (Кудрі Івана), 7",50.41595459,30.53064728,Либідська,6,None,Роздільне,Дизайнерський ремонт,,3,5,"Палац ""Україна""","50.420833, 30.520833",0.8819115256899043,1
https://rieltor.ua/flats-rent/view/10117748/,2.0,21000.0,124.0,no,Голосіївський,"Голосіївська вул., 13а",50.39893341,30.51982689,Деміївська,11,None,Суміжно-роздільна,Євроремонт,,2,4,Деміївська,"50.404792, 30.516833",0.6851330649061868,1
https://rieltor.ua/flats-rent/view/10814147/,1.0,12000.0,58.0,no,Голосіївський,"Васильківська вул., 8а",50.39719391,30.50430107,Голосіївська,7,None,Роздільне,Дизайнерський ремонт,,2,5,Голосіївська,"50.3975, 30.508333",0.2878119504371521,1
https://rieltor.ua/flats-rent/view/10404392/,3.0,15000.0,91.0,no,Голосіївський,"Велика Васильківська вул. (Червоноармійська), 116",50.42060089,30.52041054,Палац Україна,3,Українська цегла,Суміжно-роздільна,Євроремонт,,2,4,"Палац ""Україна""","50.420833, 30.520833",0.039521419497836,1
https://rieltor.ua/flats-rent/view/10821385/,3.0,25858.0,131.0,no,Шевченківський,"Шевченка Тараса бульв., 58",50.44657135,30.49641037,,4,Сталінка,Роздільне,Хороший стан,,3,3,Університет,"50.444167, 30.505833",0.7187908206016731,1
https://rieltor.ua/flats-rent/view/8737382/,4.0,44328.0,270.0,no,Печерський,"Старонаводницька вул., 13",,,,15,Українська цегла,Студія,Євроремонт,,3,4,,,0.0,1
https://rieltor.ua/flats-rent/view/10355056/,3.0,40634.0,240.0,no,Подільський,"Хорива вул., 39",50.46858978,30.51841736,Контрактова площа,5,Бетонно монолітний,Студія,Дизайнерський ремонт,,2,5,Контрактова площа,"50.465, 30.516667",0.4179486882889961,1
https://rieltor.ua/flats-rent/view/10485208/,2.0,9000.0,83.0,no,Солом'янський,"Відрадний просп. (Чубаря), 14/45",50.42984772,30.42959785,,3,Стара цегла,Студія,Хороший стан,,2,3,Шулявська,"50.455, 30.445278",3.009166634723227,2
https://rieltor.ua/flats-rent/view/10787592/,3.0,29552.0,155.0,no,Шевченківський,"Юрія Іллєнка вул. (Мельникова), 51б",50.46557999,30.47480202,,14,Бетонно монолітний,Студія,Дизайнерський ремонт,,3,5,Лук'янівська,"50.462222, 30.481667",0.6128142408706674,1
https://rieltor.ua/flats-rent/view/10805039/,2.0,15000.0,115.0,no,Шевченківський,"Тургенєвська вул., 64/68",50.45425797,30.49034119,,8,Українська цегла,Роздільне,Хороший стан,,3,3,Лук'янівська,"50.462222, 30.481667",1.07762751955122,1
https://rieltor.ua/flats-rent/view/10826995/,2.0,9000.0,93.0,no,Шевченківський,"Лагерна вул., 40",50.4602623,30.42415619,,3,None,Роздільне,Хороший стан,,3,3,Берестейська,"50.458333, 30.420833",0.3183766924340764,1
https://rieltor.ua/flats-rent/view/10826993/,1.0,9000.0,72.0,no,Солом'янський,"Чугуївський пров., 15",50.45291901,30.42424583,,1,None,Роздільне,Євроремонт,,2,4,Берестейська,"50.458333, 30.420833",0.6486833458050342,1
https://rieltor.ua/flats-rent/view/10765975/,2.0,24000.0,160.0,no,Святошинський,"Петрицького Анатолія вул., 17",50.4465332,30.38284111,,4,Бетонно монолітний,Роздільне,Чудовий стан,,1,4,Святошин,"50.457903, 30.390614",1.378846669679339,1
https://rieltor.ua/flats-rent/view/10826933/,1.0,15000.0,78.0,no,Печерський,"Миколи Міхновського бульв. (Дружби Народів), 27",50.41910553,30.5452137,,4,Сталінка,Суміжно-роздільна,Задовільний стан,,3,1,Дружби народів,"50.418056, 30.545",0.1176804798936528,1
https://rieltor.ua/flats-rent/view/10819926/,1.0,5000.0,62.0,no,Святошинський,"Українського відродження вул. (Бударіна), 5",50.44485855,30.27924538,,8,Українська цегла,Роздільне,Хороший стан,,1,3,Житомирська,"50.456175, 30.365628",6.244229337457488,3
https://rieltor.ua/flats-rent/view/10819757/,2.0,10000.0,77.0,no,Солом'янський,"Чоколівський бульв., 40",50.43824768,30.45297241,,14,Українська цегла,Роздільне,Євроремонт,,2,4,Політехнічний інститут,"50.450833, 30.466111",1.6804663622269658,1
https://rieltor.ua/flats-rent/view/10826818/,1.0,6000.0,63.5,no,Деснянський,"Червоної Калини просп. (Маяковського Володимира), 28-а",50.50759888,30.61177063,,4,Типова панель,Роздільне,Хороший стан,,1,3,Лісова,"50.464639, 30.645556",5.34158098833473,3
https://rieltor.ua/flats-rent/view/10826891/,2.0,8000.0,83.0,no,Солом'янський,"Солом'янська вул., 38",50.41973114,30.48964882,,3,None,Суміжно-роздільна,Хороший стан,,2,3,"Палац ""Україна""","50.420833, 30.520833",2.212730831770461,2
https://rieltor.ua/flats-rent/view/10819732/,2.0,14000.0,102.0,no,Святошинський,"Кулібіна вул., 6",50.45569992,30.39930916,,4,Українська цегла,Роздільне,Дизайнерський ремонт,,1,5,Нивки,"50.458653, 30.404042",0.4691314629260887,1
https://rieltor.ua/flats-rent/view/10826841/,3.0,12000.0,129.0,no,Святошинський,"Леся Курбаса просп. (50-річчя Жовтня), 3 г",50.42970657,30.39530945,,9,None,Роздільне,Хороший стан,,1,3,Святошин,"50.457903, 30.390614",3.1528813367721145,2
https://rieltor.ua/flats-rent/view/10653974/,2.0,10000.0,123.0,no,Дарницький,"Ахматової Анни вул., 16б",50.41155624,30.63200378,,12,Українська цегла,Роздільне,Хороший стан,,1,3,Позняки,"50.398056, 30.633333",1.50411109828,1
https://rieltor.ua/flats-rent/view/10796603/,4.0,103432.0,387.0,no,Шевченківський,"Шевченка Тараса бульв., 27-Б",50.44519806,30.49727821,,20,Бетонно монолітний,Студія,Дизайнерський ремонт,,3,5,Університет,"50.444167, 30.505833",0.6165309876258557,1
https://rieltor.ua/flats-rent/view/10571068/,3.0,129290.0,342.0,no,Печерський,"Кловський узвiз, 7",50.43861771,30.53874397,,39,Бетонно монолітний,Роздільне,Дизайнерський ремонт,,3,5,Кловська,"50.436944, 30.531667",0.5346414059845941,1
https://rieltor.ua/flats-rent/view/10577101/,3.0,55410.0,147.0,no,Шевченківський,"Костьольна вул., 9",50.45236588,30.52388382,,3,Дореволюційний,Суміжно-роздільна,Євроремонт,,3,4,Майдан Незалежності,"50.45, 30.524167",0.2638367680884508,1
https://rieltor.ua/flats-rent/view/10826753/,1.0,10000.0,77.0,no,Дніпровський,"Каховська вул., 58",50.46245956,30.59151459,,4,None,Роздільне,Хороший стан,,1,3,Лівобережна,"50.451389, 30.598889",1.337116655435116,1
https://rieltor.ua/flats-rent/view/10826720/,1.0,12000.0,76.3,no,Дарницький,"Канальна вул., 8",50.41930771,30.60695076,,14,None,Роздільне,Перша здача,,1,2,Осокорки,"50.395278, 30.616111",2.749708862440251,2
https://rieltor.ua/flats-rent/view/10777477/,3.0,11500.0,124.0,no,Оболонський,"Володимира Івасюка просп. (Героїв Сталінграда), 60",50.52605438,30.51698303,Героїв Дніпра,2,None,Суміжно-роздільна,Хороший стан,,2,3,Героїв Дніпра,"50.5225, 30.498611",1.3575664635552944,1
https://rieltor.ua/flats-rent/view/10447726/,2.0,25858.0,117.0,no,Печерський,"Євгена Коновальця вул. (Щорса), 44а",50.4232254,30.53857231,,4,Українська цегла,Кухня-вітальня,Євроремонт,,3,4,Печерська,"50.4275, 30.538889",0.475842982884079,1
https://rieltor.ua/flats-rent/view/10588053/,5.0,243804.0,990.0,no,Печерський,"Ковпака вул., 17",50.41722488,30.52476311,Либідська,25,Українська цегла,Пентхаус,Дизайнерський ремонт,,3,5,"Палац ""Україна""","50.420833, 30.520833",0.4883628740181915,1
https://rieltor.ua/flats-rent/view/10784679/,3.0,73880.0,290.0,no,Дніпровський,"Окіпної Раїси вул., 18",50.4479332,30.58862495,,4,Українська цегла,Суміжно-роздільна,Дизайнерський ремонт,,1,5,Лівобережна,"50.451389, 30.598889",0.8220746724673257,1
https://rieltor.ua/flats-rent/view/10795717/,3.0,59104.0,280.0,no,Печерський,"Кловський узвiз, 7",50.44053268,30.53891563,,14,Українська цегла,Роздільне,Дизайнерський ремонт,,3,5,Арсенальна,"50.443889, 30.545556",0.6003392512352399,1
https://rieltor.ua/flats-rent/view/10807991/,2.0,46175.0,151.0,no,Дніпровський,"Окіпної Раїси вул., 18",50.4479332,30.58862495,,5,Українська цегла,Суміжно-роздільна,Дизайнерський ремонт,,1,5,Лівобережна,"50.451389, 30.598889",0.8220746724673257,1
https://rieltor.ua/flats-rent/view/10820642/,2.0,31399.0,125.0,no,Дніпровський,"Окіпної Раїси вул., 18",50.4479332,30.58862495,,3,Українська цегла,Суміжно-роздільна,Євроремонт,,1,4,Лівобережна,"50.451389, 30.598889",0.8220746724673257,1
https://rieltor.ua/flats-rent/view/10826674/,2.0,15000.0,81.0,no,Голосіївський,"Васильківська вул., 5/7",50.39616013,30.50486755,Голосіївська,4,None,Роздільне,Хороший стан,,2,3,Голосіївська,"50.3975, 30.508333",0.2872923336577048,1
https://rieltor.ua/flats-rent/view/10822643/,2.0,40634.0,80.0,no,Голосіївський,"Антоновича вул. (Горького), 44",50.43367767,30.51318169,Олімпійська,19,Українська цегла,Роздільне,Дизайнерський ремонт,,2,5,Олімпійська,"50.431944, 30.516389",0.2979414882812133,1
https://rieltor.ua/flats-rent/view/10820397/,3.0,92350.0,213.0,no,Голосіївський,"Антоновича вул. (Горького), 44",50.43367767,30.51318169,Олімпійська,12,Українська цегла,Роздільне,Дизайнерський ремонт,,2,5,Олімпійська,"50.431944, 30.516389",0.2979414882812133,1
https://rieltor.ua/flats-rent/view/10817869/,3.0,96044.0,199.0,no,Печерський,"Саперне Поле вул., 5",50.4190979,30.53113747,Палац Україна,4,Українська цегла,Роздільне,Дизайнерський ремонт,,3,5,"Палац ""Україна""","50.420833, 30.520833",0.7551192474097339,1
https://rieltor.ua/flats-rent/view/10815714/,2.0,51679.06,111.0,no,Печерський,"Саперне Поле вул., 5",50.4190979,30.53113747,Либідська,5,Українська цегла,Роздільне,Дизайнерський ремонт,,3,5,"Палац ""Україна""","50.420833, 30.520833",0.7551192474097339,1
https://rieltor.ua/flats-rent/view/10800922/,2.0,25000.0,160.0,no,Печерський,"Василя Тютюнника вул. (Барбюса Анрі), 37/1",50.42111969,30.5263195,Либідська,3,Бетонно монолітний,Роздільне,Дизайнерський ремонт,,3,5,"Палац ""Україна""","50.420833, 30.520833",0.3900067764838144,1
https://rieltor.ua/flats-rent/view/10708751/,3.0,24500.0,127.0,no,Голосіївський,"Самійла Кішки вул. (Конєва), 10/1",50.38318253,30.45777702,Іподром,4,Українська цегла,Роздільне,Дизайнерський ремонт,,2,5,Іподром,"50.376556, 30.469117",1.0906442196041954,1
https://rieltor.ua/flats-rent/view/10826482/,2.0,62797.99999999999,136.0,no,Печерський,"Михайла Драгомирова, 18",50.41312408,30.54857635,,12,Українська цегла,Роздільне,Євроремонт,,3,4,Дружби народів,"50.418056, 30.545",0.6041193499174402,1
https://rieltor.ua/flats-rent/view/10826475/,2.0,14000.0,128.0,no,Дарницький,"Ващенко Григорія, 7",50.38726425,30.62639618,,8,Українська цегла,Роздільне,Євроремонт,,1,4,Осокорки,"50.395278, 30.616111",1.1513772850903234,1
https://rieltor.ua/flats-rent/view/10826471/,2.0,9900.0,92.0,no,Оболонський,"Олександра Архипенка вул. (Залки Мате), 12/3",50.49533081,30.51819801,Оболонь,7,None,Роздільне,Хороший стан,,2,3,Оболонь,"50.501111, 30.498056",1.562941844575263,1
https://rieltor.ua/flats-rent/view/10826465/,1.0,36940.0,115.0,no,Печерський,"Лабораторний пров., 7",50.42786407,30.52527428,Олімпійська,10,Українська цегла,Роздільне,Євроремонт,,3,4,Олімпійська,"50.431944, 30.516389",0.7758406315562303,1
https://rieltor.ua/flats-rent/view/10826457/,4.0,55410.0,290.0,no,Печерський,"Заньковецької вул., 6",50.44691467,30.52518654,,8,Дореволюційний,Суміжно-роздільна,Чудовий стан,,3,4,Хрещатик,"50.44726, 30.52483",0.0459546665562194,1
https://rieltor.ua/flats-rent/view/10826396/,2.0,26900.0,116.0,no,Дарницький,"Зарічна вул., 1",50.39506531,30.6021595,,12,None,None,Дизайнерський ремонт,,1,5,Славутич,"50.394167, 30.604167",0.1738621609862472,1
https://rieltor.ua/flats-rent/view/10056886/,4.0,96044.0,270.0,no,Подільський,"Щекавицька вул., 30/39",,,Контрактова площа,3,Бетонно монолітний,Роздільне,Євроремонт,,2,4,,,0.0,1
https://rieltor.ua/flats-rent/view/10826196/,1.0,21000.0,79.0,no,Шевченківський,"Шолуденка вул., 1а",50.45090866,30.47659874,,16,Бетонно монолітний,Роздільне,Євроремонт,,3,4,Політехнічний інститут,"50.450833, 30.466111",0.7426028919865822,1
